Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
38,tt0130529,2023-03-29,2023-03-29,,"Cane Toads: An Unnatural History","Cane Toads: An Unnatural History",https://www.imdb.com/title/tt0130529/,Movie,7.6,47,1988,"Documentary, Comedy",1515,1988-06-09,"Mark Lewis",,
39,tt1972663,2023-03-30,2023-03-30,,"Into the Abyss","Into the Abyss",https://www.imdb.com/title/tt1972663/,Movie,7.3,107,2011,"Documentary, Crime, Drama",17924,2012-03-30,"Werner Herzog",,
40,tt7775622,2023-04-13,2023-04-13,,"Free Solo","Free Solo",https://www.imdb.com/title/tt7775622/,Movie,8.1,100,2018,"Documentary, Adventure, Sport",84493,2018-12-14,"Jimmy Chin, Elizabeth Chai Vasarhelyi",,
41,tt2098220,2023-06-19,2023-06-19,,"Hunter x Hunter","Hunter x Hunter",https://www.imdb.com/title/tt2098220/,TV Series,9.0,24,2011,"Animation, Action, Adventure, Comedy, Fantasy",185536,2014-08-01,,,
42,tt13706018,2023-06-19,2023-06-19,,"SPY×FAMILY","Supai Famirî",https://www.imdb.com/title/tt13706018/,TV Series,8.2,24,2022,"Animation, Action, Comedy, Thriller",58667,2022-04-09,,,
43,tt2953050,2023-07-11,2023-07-11,,"Encanto","Encanto",https://www.imdb.com/title/tt2953050/,Movie,7.2,102,2021,"Animation, Comedy, Family, Fantasy, Musical",292423,2021-11-24,"Jared Bush, Byron Howard, Charise Castro Smith",,
44,tt0485601,2023-07-13,2023-07-13,,"The Secret of Kells","The Secret of Kells",https://www.imdb.com/title/tt0485601/,Movie,7.5,71,2009,"Animation, Adventure, Family, Fantasy",40410,2010-10-01,"Tomm Moore, Nora Twomey",,
45,tt17009710,2023-07-16,2023-07-16,,"Anatomy of a Fall","Anatomie d'une chute",https://www.imdb.com/title/tt17009710/,Movie,7.6,151,2023,"Crime, Drama, Mystery, Thriller",204149,2023-11-10,"Justine Triet",,
46,tt14561712,2023-07-16,2023-07-16,,"La Chimera","La chimera",https://www.imdb.com/title/tt14561712/,Movie,7.3,131,2023,"Adventure, Comedy, Drama, Romance",20727,2024-05-10,"Alice Rohrwacher",,
47,tt26242614,2023-07-18,2023-07-18,,"Umberto Eco: A Library of the World","Umberto Eco: La biblioteca del mondo",https://www.imdb.com/title/tt26242614/,Movie,7.3,80,2022,"Documentary",378,2023-09-07,"Davide Ferrario",,
